Name,Category,Type,Version,Description,Install Command,Documentation URL,Workflows,MCP Connected,Status
Node.js,Development,CLI/Runtime,v25.6.0,JavaScript runtime environment,brew install node,https://nodejs.org/docs,"Build, run dev servers, execute scripts",N/A,Active
npm,Development,Package Manager,v11.8.0,Node package manager (bundled with Node),brew install node,https://docs.npmjs.com,"Install dependencies, manage packages, run scripts",N/A,Active
npx,Development,Package Runner,v11.8.0,Execute npm packages without installing,Bundled with npm,https://docs.npmjs.com/cli/commands/npx,"Run one-off commands, scaffold projects",N/A,Active
Vercel CLI,Development,CLI,v50.12.3,Deploy and manage Vercel projects,npm install -g vercel,https://vercel.com/docs/cli,"Deploy to production, preview builds, manage env vars, link projects",N/A,Active
Shopify CLI,Development,CLI,v3.90.0,Shopify app and theme development,npm install -g @shopify/cli,https://shopify.dev/docs/api/shopify-cli,"Create apps, dev themes, manage extensions",N/A,Active
Supabase CLI,Development,CLI,v2.75.0,Supabase database and auth management,brew install supabase/tap/supabase,https://supabase.com/docs/reference/cli,"Manage DB, run migrations, deploy edge functions, manage auth",Yes,Active
GitHub CLI,Development,CLI,v2.86.0,GitHub operations from terminal,brew install gh,https://cli.github.com/manual,"Create PRs, manage issues, review code, manage repos",N/A,Active
create-next-app,Development,CLI,v16.1.6,Scaffold new Next.js projects,npm install -g create-next-app,https://nextjs.org/docs/api-reference/create-next-app,"Bootstrap new Next.js projects with TypeScript, Tailwind, App Router",N/A,Active
Tailwind CSS CLI,Development,CLI,v4.1.18,Utility-first CSS framework CLI,npm install -g @tailwindcss/cli,https://tailwindcss.com/docs,"Build CSS, watch for changes, optimize for production",N/A,Active
shadcn CLI,Development,CLI,v3.8.4,Add accessible UI components to projects,npm install -g shadcn,https://ui.shadcn.com/docs/cli,"Init component system, add individual components, customize themes",N/A,Active
Vercel Skills CLI,AI/Agent,CLI,v1.3.7,Install and manage agent skills,npm install -g skills,https://skills.sh,"Add skills, list installed, search registry, create custom skills",N/A,Active
uv,Development,CLI,v0.10.0,Fast Python package and environment manager,brew install uv,https://docs.astral.sh/uv,"Create Python envs, install packages, run Python MCP servers",N/A,Active
pipx,Development,CLI,v1.8.0,Install Python CLIs in isolated environments,brew install pipx,https://pipx.pypa.io,"Install Python tools globally without conflicts",N/A,Active
Go,Development,Runtime,v1.25.7,Go programming language (for WhatsApp bridge),brew install go,https://go.dev/doc,"Build WhatsApp bridge, compile Go-based tools",N/A,Active
Python,Development,Runtime,v3.14.3,Python programming language,brew install python@3.14,https://docs.python.org/3/,"Run Python-based MCP servers, scripts, automation",N/A,Active
vercel-react-best-practices,AI/Agent,Skill,,React and Next.js performance optimization from Vercel Engineering,npx skills add vercel-labs/agent-skills --skill vercel-react-best-practices -g,https://github.com/vercel-labs/agent-skills,"Code review, performance optimization, React patterns",N/A,Active
